player,type,time,count
messi,Direct free kick,20,1
messi,Direct free kick,30,1
messi,Direct free kick,60,1
messi,Direct free kick,80,1
messi,Direct free kick,85,1
messi,Header,35,2
messi,Header,70,1
messi,Header,80,1
messi,Left-footed shot,0,3
messi,Left-footed shot,10,2
messi,Left-footed shot,15,6
messi,Left-footed shot,20,7
messi,Left-footed shot,25,3
messi,Left-footed shot,30,2
messi,Left-footed shot,35,2
messi,Left-footed shot,40,6
messi,Left-footed shot,45,4
messi,Left-footed shot,5,2
messi,Left-footed shot,50,1
messi,Left-footed shot,55,5
messi,Left-footed shot,60,6
messi,Left-footed shot,65,3
messi,Left-footed shot,70,2
messi,Left-footed shot,75,8
messi,Left-footed shot,80,2
messi,Left-footed shot,85,5
messi,Left-footed shot,90,1
messi,Left-footed shot,上半场加时,1
messi,Left-footed shot,下半场加时,3
messi,Penalty,10,1
messi,Penalty,15,1
messi,Penalty,20,1
messi,Penalty,25,1
messi,Penalty,30,2
messi,Penalty,40,1
messi,Penalty,5,1
messi,Penalty,50,2
messi,Penalty,55,2
messi,Penalty,70,1
messi,Penalty,80,1
messi,Penalty,下半场加时,1
messi,Right-footed shot,0,1
messi,Right-footed shot,15,1
messi,Right-footed shot,20,2
messi,Right-footed shot,25,1
messi,Right-footed shot,30,1
messi,Right-footed shot,35,3
messi,Right-footed shot,50,1
messi,Right-footed shot,55,1
messi,Right-footed shot,75,1
messi,Right-footed shot,80,1
messi,Right-footed shot,85,3
ronaldo,Direct free kick,10,2
ronaldo,Direct free kick,25,2
ronaldo,Direct free kick,35,1
ronaldo,Direct free kick,5,1
ronaldo,Direct free kick,75,2
ronaldo,Direct free kick,85,2
ronaldo,Direct free kick,90,1
ronaldo,Direct free kick,下半场加时,1
ronaldo,Header,10,1
ronaldo,Header,15,2
ronaldo,Header,20,1
ronaldo,Header,25,6
ronaldo,Header,30,1
ronaldo,Header,35,1
ronaldo,Header,45,5
ronaldo,Header,5,1
ronaldo,Header,50,1
ronaldo,Header,60,1
ronaldo,Header,65,2
ronaldo,Header,75,1
ronaldo,Header,80,1
ronaldo,Left-footed shot,105,1
ronaldo,Left-footed shot,25,1
ronaldo,Left-footed shot,35,2
ronaldo,Left-footed shot,40,1
ronaldo,Left-footed shot,45,1
ronaldo,Left-footed shot,5,2
ronaldo,Left-footed shot,50,2
ronaldo,Left-footed shot,55,2
ronaldo,Left-footed shot,60,2
ronaldo,Left-footed shot,70,1
ronaldo,Left-footed shot,80,1
ronaldo,Left-footed shot,90,2
ronaldo,Penalty,10,1
ronaldo,Penalty,120,1
ronaldo,Penalty,20,2
ronaldo,Penalty,25,2
ronaldo,Penalty,40,3
ronaldo,Penalty,45,1
ronaldo,Penalty,5,1
ronaldo,Penalty,50,2
ronaldo,Penalty,55,1
ronaldo,Penalty,60,1
ronaldo,Penalty,65,1
ronaldo,Penalty,80,1
ronaldo,Penalty,85,1
ronaldo,Penalty,下半场加时,1
ronaldo,Right-footed shot,0,2
ronaldo,Right-footed shot,10,3
ronaldo,Right-footed shot,105,1
ronaldo,Right-footed shot,15,2
ronaldo,Right-footed shot,20,3
ronaldo,Right-footed shot,25,3
ronaldo,Right-footed shot,30,1
ronaldo,Right-footed shot,35,1
ronaldo,Right-footed shot,40,3
ronaldo,Right-footed shot,45,4
ronaldo,Right-footed shot,5,1
ronaldo,Right-footed shot,50,3
ronaldo,Right-footed shot,55,4
ronaldo,Right-footed shot,60,5
ronaldo,Right-footed shot,65,2
ronaldo,Right-footed shot,70,3
ronaldo,Right-footed shot,75,4
ronaldo,Right-footed shot,80,2
ronaldo,Right-footed shot,85,5
ronaldo,Right-footed shot,90,1
ronaldo,Right-footed shot,下半场加时,2
