name,date,score
ronaldo,2007/4/10,2
ronaldo,2007/4/24,3
ronaldo,2007/9/19,4
ronaldo,2007/10/23,6
ronaldo,2007/11/7,7
ronaldo,2007/11/27,8
ronaldo,2008/3/4,9
ronaldo,2008/4/1,10
ronaldo,2008/5/21,11
ronaldo,2009/3/11,12
ronaldo,2009/4/15,13
ronaldo,2009/5/5,15
ronaldo,2009/9/15,17
ronaldo,2009/9/30,19
ronaldo,2009/12/8,21
ronaldo,2010/3/10,22
ronaldo,2010/10/19,23
ronaldo,2010/11/23,25
ronaldo,2010/12/8,26
ronaldo,2011/4/5,27
ronaldo,2011/4/13,28
ronaldo,2011/9/27,29
ronaldo,2011/11/2,31
ronaldo,2012/2/21,32
ronaldo,2012/3/14,34
ronaldo,2012/4/4,36
ronaldo,2012/4/25,38
ronaldo,2012/9/18,39
ronaldo,2012/10/3,42
ronaldo,2012/10/24,43
ronaldo,2012/12/4,44
ronaldo,2013/2/13,45
ronaldo,2013/3/5,46
ronaldo,2013/4/3,47
ronaldo,2013/4/9,49
ronaldo,2013/4/24,50
ronaldo,2013/9/17,53
ronaldo,2013/10/2,55
ronaldo,2013/10/23,57
ronaldo,2013/11/5,58
ronaldo,2013/12/10,59
ronaldo,2014/2/26,61
ronaldo,2014/3/18,63
ronaldo,2014/4/2,64
ronaldo,2014/4/29,66
ronaldo,2014/5/24,67
ronaldo,2014/9/16,68
ronaldo,2014/10/1,69
ronaldo,2014/10/22,70
ronaldo,2014/11/26,71
ronaldo,2014/12/9,72
ronaldo,2015/2/18,73
ronaldo,2015/3/10,75
ronaldo,2015/5/5,76
ronaldo,2015/5/13,77
ronaldo,2015/9/15,80
ronaldo,2015/9/30,82
ronaldo,2015/11/25,84
ronaldo,2015/12/8,88
ronaldo,2016/2/17,89
ronaldo,2016/3/8,90
ronaldo,2016/4/12,93
ronaldo,2016/9/14,94
ronaldo,2016/9/27,95
ronaldo,2017/4/12,97
ronaldo,2017/4/18,100
ronaldo,2017/5/2,103
ronaldo,2017/6/3,105
ronaldo,2017/9/13,107
ronaldo,2017/9/26,109
ronaldo,2017/10/17,110
ronaldo,2017/11/1,111
ronaldo,2017/11/21,113
ronaldo,2017/12/6,114
ronaldo,2018/2/14,116
ronaldo,2018/3/6,117
ronaldo,2018/4/3,119
ronaldo,2018/4/11,120
ronaldo,2018/11/7,121
ronaldo,2019/3/12,124
ronaldo,2019/4/10,125
ronaldo,2019/4/16,126
ronaldo,2019/10/1,127
ronaldo,2019/12/11,128
ronaldo,2020/8/7,130
ronaldo,2020/11/24,131
ronaldo,2020/12/2,132
ronaldo,2020/12/8,134
messi,2005/11/2,1
messi,2006/9/27,2
messi,2007/9/19,3
messi,2007/10/2,4
messi,2007/11/7,5
messi,2007/11/27,6
messi,2008/2/20,8
messi,2008/10/1,10
messi,2008/10/22,11
messi,2008/11/4,12
messi,2008/11/26,13
messi,2009/3/11,14
messi,2009/4/8,16
messi,2009/5/27,17
messi,2009/9/29,18
messi,2009/12/9,19
messi,2010/3/17,21
messi,2010/4/6,25
messi,2010/9/14,27
messi,2010/10/20,29
messi,2010/11/2,30
messi,2010/11/24,31
messi,2011/3/8,33
messi,2011/4/12,34
messi,2011/4/27,36
messi,2011/5/28,37
messi,2011/9/28,39
messi,2011/11/1,42
messi,2011/11/23,43
messi,2012/2/14,44
messi,2012/3/7,49
messi,2012/4/3,51
messi,2012/9/19,53
messi,2012/11/7,54
messi,2012/11/20,56
messi,2013/3/12,58
messi,2013/4/2,59
messi,2013/9/18,62
messi,2013/10/22,63
messi,2013/11/6,65
messi,2014/2/18,66
messi,2014/3/12,67
messi,2014/9/30,68
messi,2014/10/21,69
messi,2014/11/5,71
messi,2014/11/25,74
messi,2014/12/10,75
messi,2015/5/6,77
messi,2015/11/24,79
messi,2015/12/9,80
messi,2016/2/23,82
messi,2016/3/16,83
messi,2016/9/13,86
messi,2016/10/19,89
messi,2016/11/1,90
messi,2016/11/23,92
messi,2016/12/6,93
messi,2017/3/8,94
messi,2017/9/12,96
messi,2017/10/18,97
messi,2018/2/20,98
messi,2018/3/14,100
messi,2018/9/18,103
messi,2018/10/3,105
messi,2018/11/28,106
messi,2019/3/13,108
messi,2019/4/16,110
messi,2019/5/1,112
messi,2019/10/23,113
messi,2019/11/27,114
messi,2020/8/8,115
messi,2020/10/20,116
messi,2020/10/28,117
messi,2020/11/4,118
