date,score
2007/4/10,2
2007/4/24,1
2007/9/19,1
2007/10/23,2
2007/11/7,1
2007/11/27,1
2008/3/4,1
2008/4/1,1
2008/5/21,1
2009/3/11,1
2009/4/15,1
2009/5/5,2
2009/9/15,2
2009/9/30,2
2009/12/8,2
2010/3/10,1
2010/10/19,1
2010/11/23,2
2010/12/8,1
2011/4/5,1
2011/4/13,1
2011/9/27,1
2011/11/2,2
2012/2/21,1
2012/3/14,2
2012/4/4,2
2012/4/25,2
2012/9/18,1
2012/10/3,3
2012/10/24,1
2012/12/4,1
2013/2/13,1
2013/3/5,1
2013/4/3,1
2013/4/9,2
2013/4/24,1
2013/9/17,3
2013/10/2,2
2013/10/23,2
2013/11/5,1
2013/12/10,1
2014/2/26,2
2014/3/18,2
2014/4/2,1
2014/4/29,2
2014/5/24,1
2014/9/16,1
2014/10/1,1
2014/10/22,1
2014/11/26,1
2014/12/9,1
2015/2/18,1
2015/3/10,2
2015/5/5,1
2015/5/13,1
2015/9/15,3
2015/9/30,2
2015/11/25,2
2015/12/8,4
2016/2/17,1
2016/3/8,1
2016/4/12,3
2016/9/14,1
2016/9/27,1
2017/4/12,2
2017/4/18,3
2017/5/2,3
2017/6/3,2
2017/9/13,2
2017/9/26,2
2017/10/17,1
2017/11/1,1
2017/11/21,2
2017/12/6,1
2018/2/14,2
2018/3/6,1
2018/4/3,2
2018/4/11,1
2018/11/7,1
2019/3/12,3
2019/4/10,1
2019/4/16,1
2019/10/1,1
2019/12/11,1
2020/8/7,2
2020/11/24,1
2020/12/2,1
2020/12/8,2
